monitoring;iterations;threads;run;time
no;10;1;0;357
yes;10;1;0;355
no;10;1;1;353
yes;10;1;1;357
no;10;1;2;354
yes;10;1;2;356
no;10;1;3;355
yes;10;1;3;356
no;10;1;4;355
yes;10;1;4;356
no;10;1;5;355
yes;10;1;5;356
no;100;1;0;3538
yes;100;1;0;3555
no;100;1;1;3544
yes;100;1;1;3565
no;100;1;2;3553
yes;100;1;2;3576
no;100;1;3;3570
yes;100;1;3;3587
no;100;1;4;3574
yes;100;1;4;3606
no;100;1;5;3597
yes;100;1;5;3628
no;1000;1;0;36258
yes;1000;1;0;36508
no;1000;1;1;36312
yes;1000;1;1;36548
no;1000;1;2;36412
yes;1000;1;2;36657
no;1000;1;3;36688
yes;1000;1;3;37075
no;1000;1;4;36605
yes;1000;1;4;36792
no;1000;1;5;36624
yes;1000;1;5;36850
no;10;2;0;755
yes;10;2;0;757
no;10;2;1;755
yes;10;2;1;759
no;10;2;2;754
yes;10;2;2;757
no;10;2;3;755
yes;10;2;3;757
no;10;2;4;757
yes;10;2;4;758
no;10;2;5;755
yes;10;2;5;757
no;100;2;0;7546
yes;100;2;0;7571
no;100;2;1;7531
yes;100;2;1;7579
no;100;2;2;7533
yes;100;2;2;7557
no;100;2;3;7518
yes;100;2;3;7571
no;100;2;4;7550
yes;100;2;4;7554
no;100;2;5;7547
yes;100;2;5;7571
no;1000;2;0;75307
yes;1000;2;0;75953
no;1000;2;1;75514
yes;1000;2;1;76233
no;1000;2;2;75618
yes;1000;2;2;75937
no;1000;2;3;75626
yes;1000;2;3;76157
no;1000;2;4;75772
yes;1000;2;4;76484
no;1000;2;5;76102
yes;1000;2;5;76488
no;10;3;0;764
yes;10;3;0;766
no;10;3;1;764
yes;10;3;1;769
no;10;3;2;764
yes;10;3;2;770
no;10;3;3;766
yes;10;3;3;769
no;10;3;4;767
yes;10;3;4;770
no;10;3;5;767
yes;10;3;5;772
no;100;3;0;7698
yes;100;3;0;7757
no;100;3;1;7743
yes;100;3;1;7773
no;100;3;2;7745
yes;100;3;2;7796
no;100;3;3;7785
yes;100;3;3;7821
no;100;3;4;7771
yes;100;3;4;7809
no;100;3;5;7791
yes;100;3;5;7827
no;1000;3;0;78315
yes;1000;3;0;78486
no;1000;3;1;78037
yes;1000;3;1;78679
no;1000;3;2;78132
yes;1000;3;2;78741
no;1000;3;3;78196
yes;1000;3;3;78722
no;1000;3;4;78257
yes;1000;3;4;78760
no;1000;3;5;78331
yes;1000;3;5;78911
no;10;4;0;782
yes;10;4;0;790
no;10;4;1;789
yes;10;4;1;798
no;10;4;2;793
yes;10;4;2;799
no;10;4;3;794
yes;10;4;3;800
no;10;4;4;799
yes;10;4;4;799
no;10;4;5;803
yes;10;4;5;803
no;100;4;0;7992
yes;100;4;0;8107
no;100;4;1;8097
yes;100;4;1;8200
no;100;4;2;8133
yes;100;4;2;8205
no;100;4;3;8128
yes;100;4;3;8175
no;100;4;4;8164
yes;100;4;4;8264
no;100;4;5;8150
yes;100;4;5;8195
no;1000;4;0;81847
yes;1000;4;0;82515
no;1000;4;1;81923
yes;1000;4;1;82616
no;1000;4;2;82260
yes;1000;4;2;82615
no;1000;4;3;82273
yes;1000;4;3;83187
no;1000;4;4;82275
yes;1000;4;4;82877
no;1000;4;5;82143
yes;1000;4;5;82747
no;10;5;0;848
yes;10;5;0;848
no;10;5;1;849
yes;10;5;1;854
no;10;5;2;849
yes;10;5;2;856
no;10;5;3;856
yes;10;5;3;853
no;10;5;4;852
yes;10;5;4;853
no;10;5;5;854
yes;10;5;5;854
no;100;5;0;8503
yes;100;5;0;8573
no;100;5;1;8548
yes;100;5;1;8586
no;100;5;2;8531
yes;100;5;2;8588
no;100;5;3;8537
yes;100;5;3;8614
no;100;5;4;8550
yes;100;5;4;8589
no;100;5;5;8527
yes;100;5;5;8570
no;1000;5;0;85558
yes;1000;5;0;86204
no;1000;5;1;85838
yes;1000;5;1;85946
no;1000;5;2;85366
yes;1000;5;2;86258
no;1000;5;3;85359
yes;1000;5;3;86056
no;1000;5;4;85728
yes;1000;5;4;86008
no;1000;5;5;85375
yes;1000;5;5;85898
no;10;6;0;877
yes;10;6;0;882
no;10;6;1;883
yes;10;6;1;885
no;10;6;2;883
yes;10;6;2;888
no;10;6;3;886
yes;10;6;3;888
no;10;6;4;884
yes;10;6;4;890
no;10;6;5;885
yes;10;6;5;892
no;100;6;0;8880
yes;100;6;0;8976
no;100;6;1;8923
yes;100;6;1;9012
no;100;6;2;8939
yes;100;6;2;9016
no;100;6;3;8958
yes;100;6;3;9032
no;100;6;4;8968
yes;100;6;4;9030
no;100;6;5;8970
yes;100;6;5;9032
no;1000;6;0;89769
yes;1000;6;0;90468
no;1000;6;1;89715
yes;1000;6;1;90371
no;1000;6;2;89792
yes;1000;6;2;90633
no;1000;6;3;89557
yes;1000;6;3;90337
no;1000;6;4;89681
yes;1000;6;4;90309
no;1000;6;5;89642
yes;1000;6;5;90386
no;100;7;0;9256
yes;100;7;0;9351
no;100;7;1;9272
yes;100;7;1;9363
no;100;7;2;9285
yes;100;7;2;9383
no;100;7;3;9309
yes;100;7;3;9397
no;100;7;4;9331
yes;100;7;4;9436
no;100;7;5;9366
yes;100;7;5;9462
no;1000;7;0;94829
yes;1000;7;0;95396
no;1000;7;1;94378
yes;1000;7;1;95535
no;1000;7;2;95000
yes;1000;7;2;95799
no;1000;7;3;94673
yes;1000;7;3;95656
no;1000;7;4;94660
yes;1000;7;4;95570
no;1000;7;5;94414
yes;1000;7;5;95384
no;100;8;0;9813
yes;100;8;0;9910
no;100;8;1;9828
yes;100;8;1;9943
no;100;8;2;9877
yes;100;8;2;9983
no;100;8;3;9948
yes;100;8;3;10036
no;100;8;4;9951
yes;100;8;4;10065
no;100;8;5;9975
yes;100;8;5;10054
no;1000;8;0;99779
yes;1000;8;0;100337
no;1000;8;1;99210
yes;1000;8;1;100313
no;1000;8;2;99178
yes;1000;8;2;100226
no;1000;8;3;99337
yes;1000;8;3;100420
no;1000;8;4;99051
yes;1000;8;4;100402
no;1000;8;5;99293
yes;1000;8;5;100108
no;100;9;0;10218
yes;100;9;0;10301
no;100;9;1;10208
yes;100;9;1;10301
no;100;9;2;10213
yes;100;9;2;10330
no;100;9;3;10266
yes;100;9;3;10359
no;100;9;4;10247
yes;100;9;4;10364
no;100;9;5;10275
yes;100;9;5;10355
no;1000;9;0;102785
yes;1000;9;0;103591
no;1000;9;1;102641
yes;1000;9;1;103417
no;1000;9;2;102677
yes;1000;9;2;103453
no;1000;9;3;102277
yes;1000;9;3;103428
no;1000;9;4;102921
yes;1000;9;4;103657
no;1000;9;5;102470
yes;1000;9;5;103553
no;100;10;0;10676
yes;100;10;0;10751
no;100;10;1;10634
yes;100;10;1;10752
no;100;10;2;10663
yes;100;10;2;10752
no;100;10;3;10664
yes;100;10;3;10726
no;100;10;4;10624
yes;100;10;4;10758
no;100;10;5;10631
yes;100;10;5;10768
no;1000;10;0;106869
yes;1000;10;0;107968
no;1000;10;1;107266
yes;1000;10;1;107975
no;1000;10;2;107042
yes;1000;10;2;108340
no;1000;10;3;107099
yes;1000;10;3;108561
no;1000;10;4;107437
yes;1000;10;4;108542
no;1000;10;5;107443
yes;1000;10;5;108193
no;100;11;0;11039
yes;100;11;0;11104
no;100;11;1;11010
yes;100;11;1;11142
no;100;11;2;11030
yes;100;11;2;11169
no;100;11;3;11071
yes;100;11;3;11209
no;100;11;4;11088
yes;100;11;4;11196
no;100;11;5;11081
yes;100;11;5;11208
no;1000;11;0;111127
yes;1000;11;0;111946
no;1000;11;1;110748
yes;1000;11;1;111693
no;1000;11;2;110334
yes;1000;11;2;111798
no;1000;11;3;110457
yes;1000;11;3;111733
no;1000;11;4;110755
yes;1000;11;4;111989
no;1000;11;5;110377
yes;1000;11;5;111873
no;100;12;0;11408
yes;100;12;0;11510
no;100;12;1;11423
yes;100;12;1;11597
no;100;12;2;11505
yes;100;12;2;11647
no;100;12;3;11529
yes;100;12;3;11653
no;100;12;4;11514
yes;100;12;4;11623
no;100;12;5;11528
yes;100;12;5;11644
no;1000;12;0;115085
yes;1000;12;0;116098
no;1000;12;1;114956
yes;1000;12;1;115506
no;1000;12;2;114352
yes;1000;12;2;115079
no;1000;12;3;114122
yes;1000;12;3;115697
no;1000;12;4;114893
yes;1000;12;4;115951
no;1000;12;5;114532
yes;1000;12;5;116118
no;100;13;0;11843
yes;100;13;0;11888
no;100;13;1;11800
yes;100;13;1;11971
no;100;13;2;11841
yes;100;13;2;11984
no;100;13;3;11845
yes;100;13;3;11963
no;100;13;4;11835
yes;100;13;4;11911
no;100;13;5;11790
yes;100;13;5;11933
no;1000;13;0;118530
yes;1000;13;0;119771
no;1000;13;1;118082
yes;1000;13;1;119483
no;1000;13;2;117985
yes;1000;13;2;119415
no;1000;13;3;118230
yes;1000;13;3;119465
no;1000;13;4;118340
yes;1000;13;4;119388
no;1000;13;5;118010
yes;1000;13;5;119924
no;100;14;0;12259
yes;100;14;0;12355
no;100;14;1;12244
yes;100;14;1;12388
no;100;14;2;12272
yes;100;14;2;12389
no;100;14;3;12270
yes;100;14;3;12416
no;100;14;4;12278
yes;100;14;4;12400
no;100;14;5;12286
yes;100;14;5;12404
no;1000;14;0;122945
yes;1000;14;0;123942
no;1000;14;1;122642
yes;1000;14;1;123981
no;1000;14;2;122744
yes;1000;14;2;123974
no;1000;14;3;122734
yes;1000;14;3;123938
no;1000;14;4;122899
yes;1000;14;4;123958
no;1000;14;5;122872
yes;1000;14;5;123995
no;100;15;0;12544
yes;100;15;0;12641
no;100;15;1;12584
yes;100;15;1;12639
no;100;15;2;12607
yes;100;15;2;12661
no;100;15;3;12629
yes;100;15;3;12673
no;100;15;4;12578
yes;100;15;4;12650
no;100;15;5;12610
yes;100;15;5;12660
no;1000;15;0;126366
yes;1000;15;0;126680
no;1000;15;1;126051
yes;1000;15;1;126977
no;1000;15;2;126218
yes;1000;15;2;126731
no;1000;15;3;125973
yes;1000;15;3;126451
no;1000;15;4;125827
yes;1000;15;4;126655
no;1000;15;5;125999
yes;1000;15;5;126701
no;100;16;0;12981
yes;100;16;0;13079
no;100;16;1;12958
yes;100;16;1;13069
no;100;16;2;12934
yes;100;16;2;13077
no;100;16;3;12945
yes;100;16;3;13085
no;100;16;4;12990
yes;100;16;4;13112
no;100;16;5;12953
yes;100;16;5;13135
no;1000;16;0;129852
yes;1000;16;0;130463
no;1000;16;1;129616
yes;1000;16;1;130630
no;1000;16;2;129867
yes;1000;16;2;130547
no;1000;16;3;129587
yes;1000;16;3;130703
no;1000;16;4;129980
yes;1000;16;4;130832
no;1000;16;5;129720
yes;1000;16;5;130762
no;100;17;0;16868
yes;100;17;0;16866
no;100;17;1;16785
yes;100;17;1;16741
no;100;17;2;16641
yes;100;17;2;16720
no;100;17;3;16583
yes;100;17;3;16596
no;100;17;4;16585
yes;100;17;4;16559
no;100;17;5;16525
yes;100;17;5;16604
no;1000;17;0;166365
yes;1000;17;0;164919
no;1000;17;1;163981
yes;1000;17;1;163893
no;1000;17;2;163646
yes;1000;17;2;163907
no;1000;17;3;163551
yes;1000;17;3;163898
no;1000;17;4;163474
yes;1000;17;4;163898
no;10;7;0;796
yes;10;7;0;795
no;10;7;1;793
yes;10;7;1;795
no;10;7;2;794
yes;10;7;2;795
no;10;7;3;795
yes;10;7;3;794
no;10;7;4;794
yes;10;7;4;795
no;10;7;5;801
yes;10;7;5;821
no;10;7;6;819
yes;10;7;6;825
no;10;7;7;822
yes;10;7;7;827
no;10;7;8;819
yes;10;7;8;824
no;10;7;9;821
yes;10;7;9;825
no;10;7;10;823
yes;10;7;10;826
no;10;7;11;821
yes;10;7;11;827
no;10;7;12;822
yes;10;7;12;826
no;10;7;13;825
yes;10;7;13;829
no;10;7;14;821
yes;10;7;14;828
no;10;7;15;825
yes;10;7;15;829
no;10;7;16;825
yes;10;7;16;834
no;10;7;17;824
yes;10;7;17;828
no;10;7;18;829
yes;10;7;18;835
no;10;7;19;831
yes;10;7;19;835
no;10;7;20;835
yes;10;7;20;841
no;10;8;0;840
yes;10;8;0;848
no;10;8;1;846
yes;10;8;1;851
no;10;8;2;856
yes;10;8;2;863
no;10;8;3;854
yes;10;8;3;861
no;10;8;4;859
yes;10;8;4;863
no;10;8;5;861
yes;10;8;5;865
no;10;8;6;862
yes;10;8;6;868
no;10;8;7;865
yes;10;8;7;870
no;10;8;8;869
yes;10;8;8;873
no;10;8;9;871
yes;10;8;9;875
no;10;8;10;873
yes;10;8;10;875
no;10;8;11;874
yes;10;8;11;879
no;10;8;12;875
yes;10;8;12;878
no;10;8;13;878
yes;10;8;13;880
no;10;8;14;877
yes;10;8;14;884
no;10;8;15;880
yes;10;8;15;883
no;10;8;16;881
yes;10;8;16;884
no;10;8;17;883
yes;10;8;17;886
no;10;8;18;883
yes;10;8;18;887
no;10;8;19;887
yes;10;8;19;887
no;10;8;20;887
yes;10;8;20;891
no;10;9;0;909
yes;10;9;0;912
no;10;9;1;910
yes;10;9;1;914
no;10;9;2;911
yes;10;9;2;919
no;10;9;3;913
yes;10;9;3;919
no;10;9;4;916
yes;10;9;4;918
no;10;9;5;915
yes;10;9;5;919
no;10;9;6;915
yes;10;9;6;920
no;10;9;7;917
yes;10;9;7;922
no;10;9;8;916
yes;10;9;8;922
no;10;9;9;916
yes;10;9;9;923
no;10;9;10;918
yes;10;9;10;923
no;10;9;11;921
yes;10;9;11;923
no;10;9;12;921
yes;10;9;12;925
no;10;9;13;924
yes;10;9;13;926
no;10;9;14;923
yes;10;9;14;931
no;10;9;15;926
yes;10;9;15;928
no;10;9;16;922
yes;10;9;16;928
no;10;9;17;924
yes;10;9;17;928
no;10;9;18;926
yes;10;9;18;929
no;10;9;19;924
yes;10;9;19;930
no;10;9;20;925
yes;10;9;20;929
no;10;10;0;952
yes;10;10;0;959
no;10;10;1;955
yes;10;10;1;961
no;10;10;2;956
yes;10;10;2;962
no;10;10;3;955
yes;10;10;3;962
no;10;10;4;957
yes;10;10;4;964
no;10;10;5;958
yes;10;10;5;963
no;10;10;6;958
yes;10;10;6;965
no;10;10;7;957
yes;10;10;7;969
no;10;10;8;959
yes;10;10;8;964
no;10;10;9;960
yes;10;10;9;969
no;10;10;10;959
yes;10;10;10;968
no;10;10;11;960
yes;10;10;11;966
no;10;10;12;960
yes;10;10;12;968
no;10;10;13;962
yes;10;10;13;967
no;10;10;14;962
yes;10;10;14;967
no;10;10;15;961
yes;10;10;15;968
no;10;10;16;963
yes;10;10;16;971
no;10;10;17;963
yes;10;10;17;973
no;10;10;18;962
yes;10;10;18;972
no;10;10;19;962
yes;10;10;19;967
no;10;10;20;963
yes;10;10;20;969
no;10;11;0;968
yes;10;11;0;972
no;10;11;1;968
yes;10;11;1;975
no;10;11;2;970
yes;10;11;2;979
no;10;11;3;975
yes;10;11;3;978
no;10;11;4;975
yes;10;11;4;981
no;10;11;5;973
yes;10;11;5;985
no;10;11;6;976
yes;10;11;6;984
no;10;11;7;979
yes;10;11;7;989
no;10;11;8;977
yes;10;11;8;984
no;10;11;9;979
yes;10;11;9;986
no;10;11;10;979
yes;10;11;10;986
no;10;11;11;978
yes;10;11;11;986
no;10;11;12;980
yes;10;11;12;989
no;10;11;13;984
yes;10;11;13;990
no;10;11;14;981
yes;10;11;14;989
no;10;11;15;981
yes;10;11;15;995
no;10;11;16;983
yes;10;11;16;990
no;10;11;17;985
yes;10;11;17;992
no;10;11;18;984
yes;10;11;18;992
no;10;11;19;985
yes;10;11;19;991
no;10;11;20;986
yes;10;11;20;993
no;10;12;0;989
yes;10;12;0;1013
no;10;12;1;1002
yes;10;12;1;1014
no;10;12;2;1003
yes;10;12;2;1019
no;10;12;3;1007
yes;10;12;3;1017
no;10;12;4;1007
yes;10;12;4;1017
no;10;12;5;1005
yes;10;12;5;1018
no;10;12;6;1005
yes;10;12;6;1018
no;10;12;7;1008
yes;10;12;7;1024
no;10;12;8;1008
yes;10;12;8;1024
no;10;12;9;1010
yes;10;12;9;1021
no;10;12;10;1012
yes;10;12;10;1021
no;10;12;11;1011
yes;10;12;11;1022
no;10;12;12;1014
yes;10;12;12;1027
no;10;12;13;1014
yes;10;12;13;1025
no;10;12;14;1015
yes;10;12;14;1026
no;10;12;15;1018
yes;10;12;15;1028
no;10;12;16;1016
yes;10;12;16;1028
no;10;12;17;1018
yes;10;12;17;1028
no;10;12;18;1020
yes;10;12;18;1034
no;10;12;19;1026
yes;10;12;19;1032
no;10;12;20;1024
yes;10;12;20;1037
no;10;13;0;1051
yes;10;13;0;1060
no;10;13;1;1052
yes;10;13;1;1060
no;10;13;2;1053
yes;10;13;2;1061
no;10;13;3;1053
yes;10;13;3;1061
no;10;13;4;1052
yes;10;13;4;1062
no;10;13;5;1054
yes;10;13;5;1064
no;10;13;6;1055
yes;10;13;6;1068
no;10;13;7;1054
yes;10;13;7;1066
no;10;13;8;1057
yes;10;13;8;1067
no;10;13;9;1057
yes;10;13;9;1067
no;10;13;10;1059
yes;10;13;10;1068
no;10;13;11;1059
yes;10;13;11;1071
no;10;13;12;1061
yes;10;13;12;1069
no;10;13;13;1061
yes;10;13;13;1072
no;10;13;14;1064
yes;10;13;14;1075
no;10;13;15;1063
yes;10;13;15;1074
no;10;13;16;1062
yes;10;13;16;1072
no;10;13;17;1065
yes;10;13;17;1076
no;10;13;18;1066
yes;10;13;18;1079
no;10;13;19;1068
yes;10;13;19;1075
no;10;13;20;1067
yes;10;13;20;1078
no;10;14;0;1103
yes;10;14;0;1112
no;10;14;1;1103
yes;10;14;1;1113
no;10;14;2;1104
yes;10;14;2;1115
no;10;14;3;1105
yes;10;14;3;1114
no;10;14;4;1107
yes;10;14;4;1116
no;10;14;5;1106
yes;10;14;5;1111
no;10;14;6;1105
yes;10;14;6;1116
no;10;14;7;1124
yes;10;14;7;1143
no;10;14;8;1132
yes;10;14;8;1139
no;10;14;9;1132
yes;10;14;9;1148
no;10;14;10;1141
yes;10;14;10;1151
no;10;14;11;1145
yes;10;14;11;1159
no;10;14;12;1105
yes;10;14;12;1120
no;10;14;13;1106
yes;10;14;13;1118
no;10;14;14;1106
yes;10;14;14;1124
no;10;14;15;1109
yes;10;14;15;1122
no;10;14;16;1114
yes;10;14;16;1122
no;10;14;17;1113
yes;10;14;17;1121
no;10;14;18;1112
yes;10;14;18;1126
no;10;14;19;1110
yes;10;14;19;1122
no;10;14;20;1110
yes;10;14;20;1124
no;10;15;0;1137
yes;10;15;0;1144
no;10;15;1;1136
yes;10;15;1;1146
no;10;15;2;1142
yes;10;15;2;1148
no;10;15;3;1141
yes;10;15;3;1147
no;10;15;4;1139
yes;10;15;4;1149
no;10;15;5;1143
yes;10;15;5;1148
no;10;15;6;1146
yes;10;15;6;1151
no;10;15;7;1146
yes;10;15;7;1151
no;10;15;8;1147
yes;10;15;8;1151
no;10;15;9;1144
yes;10;15;9;1147
no;10;15;10;1143
yes;10;15;10;1151
no;10;15;11;1144
yes;10;15;11;1149
no;10;15;12;1145
yes;10;15;12;1151
no;10;15;13;1142
yes;10;15;13;1150
no;10;15;14;1145
yes;10;15;14;1152
no;10;15;15;1145
yes;10;15;15;1152
no;10;15;16;1145
yes;10;15;16;1152
no;10;15;17;1147
yes;10;15;17;1153
no;10;15;18;1143
yes;10;15;18;1152
no;10;15;19;1145
yes;10;15;19;1157
no;10;15;20;1145
yes;10;15;20;1151
no;10;16;0;1179
yes;10;16;0;1201
no;10;16;1;1179
yes;10;16;1;1191
no;10;16;2;1182
yes;10;16;2;1195
no;10;16;3;1180
yes;10;16;3;1196
no;10;16;4;1180
yes;10;16;4;1190
no;10;16;5;1182
yes;10;16;5;1200
no;10;16;6;1223
yes;10;16;6;1197
no;10;16;7;1274
yes;10;16;7;1199
no;10;16;8;1226
yes;10;16;8;1386
no;10;16;9;1310
yes;10;16;9;1199
no;10;16;10;1201
yes;10;16;10;1205
no;10;16;11;1188
yes;10;16;11;1202
no;10;16;12;1191
yes;10;16;12;1208
no;10;16;13;1193
yes;10;16;13;1204
no;10;16;14;1195
yes;10;16;14;1204
no;10;16;15;1193
yes;10;16;15;1203
no;10;16;16;1187
yes;10;16;16;1213
no;10;16;17;1194
yes;10;16;17;1210
no;10;16;18;1190
yes;10;16;18;1207
no;10;16;19;1198
yes;10;16;19;1208
no;10;16;20;1194
yes;10;16;20;1212
no;10;17;0;1599
yes;10;17;0;1565
no;10;17;1;1551
yes;10;17;1;1560
no;10;17;2;1559
yes;10;17;2;1572
no;10;17;3;1559
yes;10;17;3;1569
no;10;17;4;1560
yes;10;17;4;1570
no;10;17;5;1559
yes;10;17;5;1572
no;10;17;6;1563
yes;10;17;6;1564
no;10;17;7;1566
yes;10;17;7;1575
no;10;17;8;1565
yes;10;17;8;1580
no;10;17;9;1566
yes;10;17;9;1578
no;10;17;10;1570
yes;10;17;10;1579
no;10;17;11;1569
yes;10;17;11;1570
no;10;17;12;1571
yes;10;17;12;1570
no;10;17;13;1574
yes;10;17;13;1568
no;10;17;14;1568
yes;10;17;14;1572
no;10;17;15;1566
yes;10;17;15;1574
no;10;17;16;1565
yes;10;17;16;1572
no;10;17;17;1566
yes;10;17;17;1572
no;10;17;18;1565
yes;10;17;18;1568
no;10;17;19;1566
yes;10;17;19;1572
no;10;17;20;1572
yes;10;17;20;1574

